gauche-gauche;style-gauche-gauche;gauche-centre;style-gauche-centre;gauche-droite;style-gauche-droite;centre-gauche;style-centre-gauche;centre-centre;style-centre-centre;centre-droite;style-centre-droite;droite-gauche;style-droite-gauche;droite-centre;style-droite-centre;droite-droite;style-droite-droite;style-ligne;commentaire
;;;;;;;;;; ;;;;;;;;;
;;;;;;;;Cast;;;;;;;;;;;
;;;;;;;;     (in order of appearance) ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Doireann McCann;;;;KERRY CONDON;;;;;;;;;
;;;;;;Curtis June;;;;DESMOND EASTWOOD;;;;;;;;;
;;;;;;Conan McGrath;;;;CONOR MACNEILL;;;;;;;;;
;;;;;;Séamus McKenna;;;;SEAMUS O'HARA;;;;;;;;;
;;;;;;Mum Outside Pub;;;;  BERNADETTE CARTY;;;;;;;;;
;;;;;;Finbar Murphy;;;;LIAM NEESON;;;;;;;;;
;;;;;;Vincent O'Shea;;;;CIARÀN HINDS;;;;;;;;;
;;;;;;Priest  ;;;;MANUS BRENNAN;;;;;;;;;
;;;;;;Rita Quinn;;;;NIAMH CUSACK;;;;;;;;;
;;;;;;Moya;;;;MICHELLE GLEESON;;;;;;;;;
;;;;;;Official;;;;TIM LANDERS;;;;;;;;;
;;;;;;Bart McGuiness ;;;; MARK O'REGAN;;;;;;;;;
;;;;;;Kevin Lynch;;;;JACK GLEESON;;;;;;;;;
;;;;;;Robert McQue;;;;COLM MEANEY;;;;;;;;;
;;;;;;Josie McQue;;;;     ANNE BROGAN;;;;;;;;;
;;;;;;Pat O'Donnell;;;;CONOR HAMILL;;;;;;;;;
;;;;;;Sinéad Dougan;;;;SARAH GREENE;;;;;;;;;
;;;;;;Hasan Bello;;;;VALENTINE OLUKOGA;;;;;;;;;
;;;;;;Catherine O'Shea;;;;LAURA HUGHES;;;;;;;;;
;;;;;;Mr. Wright;;;;JOE GALLAGHER;;;;;;;;;
